# Add translations for curated AOI names. Only EEZ and IHO rows are included; USER and MPA names are intentionally excluded.
# All seeded locale cells are filled for curated rows; the migration still skips any future intentionally blank cell.
# locale: {"code":"en","english_name":"English","native_name":"English","text_direction":"ltr","fallback_code":null,"is_default":true,"is_active":true,"notes":"Canonical source language stored in base vocabulary tables."}
# locale: {"code":"es","english_name":"Spanish","native_name":"Español","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"fr","english_name":"French","native_name":"Français","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt","english_name":"Portuguese","native_name":"Português","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt-br","english_name":"Brazilian Portuguese","native_name":"Português (Brasil)","text_direction":"ltr","fallback_code":"pt","is_default":false,"is_active":true,"notes":"Brazilian Portuguese locale seeded alongside generic Portuguese."}
# locale: {"code":"id","english_name":"Indonesian","native_name":"Bahasa Indonesia","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Requested as Bahasa; stored as locale code id."}
# locale: {"code":"sw","english_name":"Swahili","native_name":"Kiswahili","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
"source_locale","aoi_type_short_name","mrgid","source_name","source_checksum","es","fr","pt","pt-br","id","sw"
"en","EEZ","8311","Australian Exclusive Economic Zone (Macquarie Island)","a6ed630feec5f8cbf933db07787fc2f0","Zona Económica Exclusiva de la isla Macquarie","Zone économique exclusive de l'île Macquarie","Zona Económica Exclusiva da ilha Macquarie","Zona Econômica Exclusiva da ilha Macquarie","Zona Ekonomi Eksklusif Pulau Macquarie","Eneo la Kiuchumi la Kipekee la Kisiwa cha Macquarie"
"en","EEZ","26524","Azerbaijanis Exclusive Economic Zone","a7af57d0ad60fa3b58b9ef386019bae3","Zona Económica Exclusiva de Azerbaiyán","Zone économique exclusive d'Azerbaïdjan","Zona Económica Exclusiva de Azerbaijão","Zona Econômica Exclusiva de Azerbaijão","Zona Ekonomi Eksklusif Azerbaijan","Eneo la Kiuchumi la Kipekee la Azerbaijan"
"en","EEZ","8404","Bahamas Exclusive Economic Zone","30d633c1dd64690d3d51eb685b8a21a1","Zona Económica Exclusiva de las Bahamas","Zone économique exclusive des Bahamas","Zona Económica Exclusiva de Bahamas","Zona Econômica Exclusiva de Bahamas","Zona Ekonomi Eksklusif Bahama","Eneo la Kiuchumi la Kipekee la Bahama"
"en","EEZ","8358","Bahraini Exclusive Economic Zone","3f5519612b6a87554c302de4d70efc28","Zona Económica Exclusiva de Baréin","Zone économique exclusive de Bahreïn","Zona Económica Exclusiva de Bahrein","Zona Econômica Exclusiva de Bahrein","Zona Ekonomi Eksklusif Bahrain","Eneo la Kiuchumi la Kipekee la Bahrain"
"en","EEZ","8481","Bangladeshi Exclusive Economic Zone","50417d5525db4bc642f111956990f8ab","Zona Económica Exclusiva de Bangladés","Zone économique exclusive de Bangladesh","Zona Económica Exclusiva de Bangladesh","Zona Econômica Exclusiva de Bangladesh","Zona Ekonomi Eksklusif Bangladesh","Eneo la Kiuchumi la Kipekee la Bangladesh"
"en","EEZ","8418","Barbados Exclusive Economic Zone","680afe55a5b50e7beb2ba2edd38d8b52","Zona Económica Exclusiva de Barbados","Zone économique exclusive de Barbade","Zona Económica Exclusiva de Barbados","Zona Econômica Exclusiva de Barbados","Zona Ekonomi Eksklusif Barbados","Eneo la Kiuchumi la Kipekee la Barbados"
"en","EEZ","8340","Bassas da India Exclusive Economic Zone","9f98cfd982e337c87829afbb2d23ae07","Zona Económica Exclusiva de Bassas da India","Zone économique exclusive de Bassas da India","Zona Económica Exclusiva de Bassas da India","Zona Econômica Exclusiva de Bassas da India","Zona Ekonomi Eksklusif Bassas da India","Eneo la Kiuchumi la Kipekee la Bassas da India"
"en","EEZ","3293","Belgian Exclusive Economic Zone","11fd9b6d012c504a5864533384d34388","Zona Económica Exclusiva de Bélgica","Zone économique exclusive de Belgique","Zona Económica Exclusiva de Bélgica","Zona Econômica Exclusiva de Bélgica","Zona Ekonomi Eksklusif Belgia","Eneo la Kiuchumi la Kipekee la Ubelgiji"
"en","EEZ","8457","Belizean Exclusive Economic Zone","9807ee149cf649c09ccd1db7dd91ce12","Zona Económica Exclusiva de Belice","Zone économique exclusive de Belize","Zona Económica Exclusiva de Belize","Zona Econômica Exclusiva de Belize","Zona Ekonomi Eksklusif Belize","Eneo la Kiuchumi la Kipekee la Belize"
"en","EEZ","8393","Beninese Exclusive Economic Zone","0276af500de8f6461504ce76ef1e199c","Zona Económica Exclusiva de Benín","Zone économique exclusive de Bénin","Zona Económica Exclusiva de Benim","Zona Econômica Exclusiva de Benim","Zona Ekonomi Eksklusif Benin","Eneo la Kiuchumi la Kipekee la Benin"
"en","EEZ","8402","Bermudian Exclusive Economic Zone","9a1bccf5c129dd3caf0c1527fee96d58","Zona Económica Exclusiva de Bermudas","Zone économique exclusive de Bermudes","Zona Económica Exclusiva de Bermudas","Zona Econômica Exclusiva de Bermudas","Zona Ekonomi Eksklusif Bermuda","Eneo la Kiuchumi la Kipekee la Bermuda"
"en","EEZ","26520","Bonaire Exclusive Economic Zone","16d78ddabcb1aca906ea64201e5ab34b","Zona Económica Exclusiva de Bonaire","Zone économique exclusive de Bonaire","Zona Económica Exclusiva de Bonaire","Zona Econômica Exclusiva de Bonaire","Zona Ekonomi Eksklusif Bonaire","Eneo la Kiuchumi la Kipekee la Bonaire"
"en","EEZ","22491","Bosnian and Herzegovinian Exclusive Economic Zone","45508a14a7a3bcc9e452b3a248c085a5","Zona Económica Exclusiva de Bosnia y Herzegovina","Zone économique exclusive de Bosnie-Herzégovine","Zona Económica Exclusiva de Bósnia e Herzegovina","Zona Econômica Exclusiva de Bósnia e Herzegovina","Zona Ekonomi Eksklusif Bosnia dan Herzegovina","Eneo la Kiuchumi la Kipekee la Bosnia na Herzegovina"
"en","EEZ","8464","Brazilian Exclusive Economic Zone","6d19a402b17ecbd8f928397c25b4a331","Zona Económica Exclusiva de Brasil","Zone économique exclusive de Brésil","Zona Económica Exclusiva de Brasil","Zona Econômica Exclusiva de Brasil","Zona Ekonomi Eksklusif Brasil","Eneo la Kiuchumi la Kipekee la Brazil"
"en","EEZ","8381","Brazilian Exclusive Economic Zone (Trindade)","e8e010904ea342de2f9cdc01d5b017c8","Zona Económica Exclusiva de Trindade","Zone économique exclusive de Trindade","Zona Económica Exclusiva de Trindade","Zona Econômica Exclusiva de Trindade","Zona Ekonomi Eksklusif Trindade","Eneo la Kiuchumi la Kipekee la Trindade"
"en","EEZ","8411","British Virgin Islands Exclusive Economic Zone","d3fc2cc6a4876176d4f7cc72c8d695d3","Zona Económica Exclusiva de las Islas Vírgenes Británicas","Zone économique exclusive des îles Vierges britanniques","Zona Económica Exclusiva das Ilhas Virgens Britânicas","Zona Econômica Exclusiva das Ilhas Virgens Britânicas","Zona Ekonomi Eksklusif Kepulauan Virgin Britania Raya","Eneo la Kiuchumi la Kipekee la Visiwa vya Virgin vya Uingereza"
"en","EEZ","26521","Bruneian Exclusive Economic Zone","3a26d0a971feb867559c89dcaa85d44e","Zona Económica Exclusiva de Brunéi","Zone économique exclusive de Brunei","Zona Económica Exclusiva de Brunei","Zona Econômica Exclusiva de Brunei","Zona Ekonomi Eksklusif Brunei","Eneo la Kiuchumi la Kipekee la Brunei"
"en","EEZ","5672","Bulgarian Exclusive Economic Zone","4ac3f7223d9f50e58e6392e150b6add3","Zona Económica Exclusiva de Bulgaria","Zone économique exclusive de Bulgarie","Zona Económica Exclusiva de Bulgária","Zona Econômica Exclusiva de Bulgária","Zona Ekonomi Eksklusif Bulgaria","Eneo la Kiuchumi la Kipekee la Bulgaria"
"en","EEZ","8331","Cambodian Exclusive Economic Zone","116c18dda3489085c7b5d02fc0a91639","Zona Económica Exclusiva de Camboya","Zone économique exclusive de Cambodge","Zona Económica Exclusiva de Camboja","Zona Econômica Exclusiva de Camboja","Zona Ekonomi Eksklusif Kamboja","Eneo la Kiuchumi la Kipekee la Kamboja"
"en","EEZ","8475","Cameroonian Exclusive Economic Zone","8bcf511b381f0d8913f45290153c11bc","Zona Económica Exclusiva de Camerún","Zone économique exclusive de Cameroun","Zona Económica Exclusiva de Camarões","Zona Econômica Exclusiva de Camarões","Zona Ekonomi Eksklusif Kamerun","Eneo la Kiuchumi la Kipekee la Kamerun"
"en","EEZ","8493","Canadian Exclusive Economic Zone","28e22f5f5ad6f563828dd99953a8b341","Zona Económica Exclusiva de Canadá","Zone économique exclusive de Canada","Zona Económica Exclusiva de Canadá","Zona Econômica Exclusiva de Canadá","Zona Ekonomi Eksklusif Kanada","Eneo la Kiuchumi la Kipekee la Kanada"
"en","EEZ","8362","Cape Verdean Exclusive Economic Zone","6e2918c6c33dd0bb6b9aafdb8c556245","Zona Económica Exclusiva de Cabo Verde","Zone économique exclusive de Cap-Vert","Zona Económica Exclusiva de Cabo Verde","Zona Econômica Exclusiva de Cabo Verde","Zona Ekonomi Eksklusif Tanjung Verde","Eneo la Kiuchumi la Kipekee la Kabo Verde"
"en","EEZ","8407","Cayman Islands Exclusive Economic Zone","0d939fc38c65c99432f0c8b3572c4ff6","Zona Económica Exclusiva de las islas Caimán","Zone économique exclusive des îles Caïmans","Zona Económica Exclusiva das ilhas Caimão","Zona Econômica Exclusiva das ilhas Caimão","Zona Ekonomi Eksklusif Kepulauan Cayman","Eneo la Kiuchumi la Kipekee la Visiwa vya Cayman"
"en","EEZ","62589","Chagos Archipelago Exclusive Economic Zone","ee23dafac1c4f7c9c56fa494ba350068","Zona Económica Exclusiva del archipiélago de Chagos","Zone économique exclusive de l'archipel des Chagos","Zona Económica Exclusiva do arquipélago de Chagos","Zona Econômica Exclusiva do arquipélago de Chagos","Zona Ekonomi Eksklusif Kepulauan Chagos","Eneo la Kiuchumi la Kipekee la Funguvisiwa la Chagos"
"en","EEZ","8465","Chilean Exclusive Economic Zone","4f6ff2f4b74e8e75d844917152478140","Zona Económica Exclusiva de Chile","Zone économique exclusive de Chili","Zona Económica Exclusiva de Chile","Zona Econômica Exclusiva de Chile","Zona Ekonomi Eksklusif Chili","Eneo la Kiuchumi la Kipekee la Chile"
"en","EEZ","21787","Chilean Exclusive Economic Zone (Easter Island)","ea3b2a9518fc8d016c449e29f59265ae","Zona Económica Exclusiva de la isla de Pascua (Rapa Nui)","Zone économique exclusive de l'île de Pâques (Rapa Nui)","Zona Económica Exclusiva da ilha de Páscoa (Rapa Nui)","Zona Econômica Exclusiva da ilha de Páscoa (Rapa Nui)","Zona Ekonomi Eksklusif Pulau Paskah (Rapa Nui)","Eneo la Kiuchumi la Kipekee la Kisiwa cha Pasaka (Rapa Nui)"
"en","EEZ","22756","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)","fc117942223fc1d056c7766e650b132a","Zona Económica Exclusiva de las islas San Félix y San Ambrosio","Zone économique exclusive des îles San Félix et San Ambrosio","Zona Económica Exclusiva das ilhas San Félix e San Ambrosio","Zona Econômica Exclusiva das ilhas San Félix e San Ambrosio","Zona Ekonomi Eksklusif Kepulauan San Félix dan San Ambrosio","Eneo la Kiuchumi la Kipekee la Visiwa vya San Félix na San Ambrosio"
"en","EEZ","8486","Chinese Exclusive Economic Zone","9b224498ef5c48ef32120a0fe0975e24","Zona Económica Exclusiva de China","Zone économique exclusive de Chine","Zona Económica Exclusiva de China","Zona Econômica Exclusiva de China","Zona Ekonomi Eksklusif Tiongkok","Eneo la Kiuchumi la Kipekee la China"
"en","EEZ","8309","Christmas Island Exclusive Economic Zone","3eb930a13d0ad67b8c2cab6a4f138c1a","Zona Económica Exclusiva de la isla de Navidad","Zone économique exclusive de l'île Christmas","Zona Económica Exclusiva da ilha Christmas","Zona Econômica Exclusiva da ilha Christmas","Zona Ekonomi Eksklusif Pulau Natal","Eneo la Kiuchumi la Kipekee la Kisiwa cha Krismasi"
"en","EEZ","8401","Clipperton Exclusive Economic Zone","9f158041daba239e41d2f6a030465a35","Zona Económica Exclusiva de la Isla Clipperton","Zone économique exclusive de La Passion–Clipperton","Zona Económica Exclusiva da Ilha de Clipperton","Zona Econômica Exclusiva da Ilha de Clipperton","Zona Ekonomi Eksklusif Pulau Clipperton","Eneo la Kiuchumi la Kipekee la Clipperton"
"en","EEZ","8308","Cocos Islands Exclusive Economic Zone","74b7c4c76b13ba263d3f3edfbbbac242","Zona Económica Exclusiva de las islas Cocos","Zone économique exclusive des îles Cocos","Zona Económica Exclusiva das ilhas Cocos","Zona Econômica Exclusiva das ilhas Cocos","Zona Ekonomi Eksklusif Kepulauan Cocos","Eneo la Kiuchumi la Kipekee la Visiwa vya Cocos"
"en","EEZ","8426","Colombian Exclusive Economic Zone","1d422c5c9fe290d9527caf533cb411bc","Zona Económica Exclusiva de Colombia","Zone économique exclusive de Colombie","Zona Económica Exclusiva de Colômbia","Zona Econômica Exclusiva de Colômbia","Zona Ekonomi Eksklusif Kolombia","Eneo la Kiuchumi la Kipekee la Kolombia"
"en","EEZ","48985","Colombian Exclusive Economic Zone (Bajo Nuevo)","f9cea6df1c90cdf122e1b81f3454f953","Zona Económica Exclusiva de Bajo Nuevo","Zone économique exclusive du banc de Bajo Nuevo","Zona Económica Exclusiva da Ilha Baixo Novo","Zona Econômica Exclusiva da Ilha Baixo Novo","Zona Ekonomi Eksklusif Tepi Bajo Nuevo","Eneo la Kiuchumi la Kipekee la Bajo Nuevo Bank"
"en","EEZ","62598","Colombian Exclusive Economic Zone (Quitasueño)","d2408feb089dacf003ca7bed31a87376","Zona Económica Exclusiva del banco Quitasueño","Zone économique exclusive du banc Quitasueño","Zona Económica Exclusiva do Banco Quitasueño","Zona Econômica Exclusiva do Banco Quitasueño","Zona Ekonomi Eksklusif Gosong Quitasueño","Eneo la Kiuchumi la Kipekee la Mwamba wa Quitasueño"
"en","EEZ","62596","Colombian Exclusive Economic Zone (Serrana)","45788fee6d6eb624e5bdef5d110c1fba","Zona Económica Exclusiva del banco Serrana","Zone économique exclusive du banc de Serrana","Zona Económica Exclusiva do Banco Serrana","Zona Econômica Exclusiva do Banco Serrana","Zona Ekonomi Eksklusif Gosong Serrana","Eneo la Kiuchumi la Kipekee la Mwamba wa Serrana"
"en","EEZ","48984","Colombian Exclusive Economic Zone (Serranilla)","d1d1e4dc78abb79cc981d39c9a1060ef","Zona Económica Exclusiva del banco Serranilla","Zone économique exclusive du banc de Serranilla","Zona Económica Exclusiva do Banco Serranilla","Zona Econômica Exclusiva do Banco Serranilla","Zona Ekonomi Eksklusif Gosong Serranilla","Eneo la Kiuchumi la Kipekee la Mwamba wa Serranilla"
"en","EEZ","8334","Comoran Exclusive Economic Zone","c784fd3b6be46f1bf41018da88e39291","Zona Económica Exclusiva de Comoras","Zone économique exclusive de Comores","Zona Económica Exclusiva de Comores","Zona Econômica Exclusiva de Comores","Zona Ekonomi Eksklusif Komoro","Eneo la Kiuchumi la Kipekee la Komoro"
"en","EEZ","8394","Congolese Exclusive Economic Zone","fe7a575ef30514908948e100b5b6276a","Zona Económica Exclusiva de la República del Congo","Zone économique exclusive de la République du Congo","Zona Económica Exclusiva da República do Congo","Zona Econômica Exclusiva da República do Congo","Zona Ekonomi Eksklusif Republik Kongo","Eneo la Kiuchumi la Kipekee la Jamhuri ya Kongo"
"en","EEZ","8446","Cook Islands Exclusive Economic Zone","c07e69cdf3387c889a6f3669a27b6935","Zona Económica Exclusiva de las Islas Cook","Zone économique exclusive des îles Cook","Zona Económica Exclusiva das Ilhas Cook","Zona Econômica Exclusiva das Ilhas Cook","Zona Ekonomi Eksklusif Kepulauan Cook","Eneo la Kiuchumi la Kipekee la Visiwa vya Cook"
"en","EEZ","8424","Costa Rican Exclusive Economic Zone","22cbc1c1676158ae7b9f3f05a02b95d4","Zona Económica Exclusiva de Costa Rica","Zone économique exclusive de Costa Rica","Zona Económica Exclusiva de Costa Rica","Zona Econômica Exclusiva de Costa Rica","Zona Ekonomi Eksklusif Kosta Rika","Eneo la Kiuchumi la Kipekee la Kosta Rika"
"en","EEZ","5673","Croatian Exclusive Economic Zone","29a8886f1490182f8434471492af3df8","Zona Económica Exclusiva de Croacia","Zone économique exclusive de Croatie","Zona Económica Exclusiva de Croácia","Zona Econômica Exclusiva de Croácia","Zona Ekonomi Eksklusif Kroasia","Eneo la Kiuchumi la Kipekee la Kroatia"
"en","EEZ","8385","Crozet Islands Exclusive Economic Zone","19bd47af3028b03bfbc6008c45f02220","Zona Económica Exclusiva de las Islas Crozet","Zone économique exclusive de l'archipel Crozet","Zona Económica Exclusiva das Ilhas Crozet","Zona Econômica Exclusiva das Ilhas Crozet","Zona Ekonomi Eksklusif Kepulauan Crozet","Eneo la Kiuchumi la Kipekee la Crozet Islands"
"en","EEZ","8406","Cuban Exclusive Economic Zone","2d24a1fcb77727bbaf670f2173ca0bc3","Zona Económica Exclusiva de Cuba","Zone économique exclusive de Cuba","Zona Económica Exclusiva de Cuba","Zona Econômica Exclusiva de Cuba","Zona Ekonomi Eksklusif Kuba","Eneo la Kiuchumi la Kipekee la Kuba"
"en","EEZ","26517","Curaçaoan Exclusive Economic Zone","756fa2e43cf2a70a82bc4acfac0bb946","Zona Económica Exclusiva de Curazao","Zone économique exclusive de Curaçao","Zona Económica Exclusiva de Curaçao","Zona Econômica Exclusiva de Curaçao","Zona Ekonomi Eksklusif Curaçao","Eneo la Kiuchumi la Kipekee la Curacao"
"en","EEZ","8376","Cypriote Exclusive Economic Zone","fc35b294c3176dfcf26afe9f4c9a9e72","Zona Económica Exclusiva de Chipre","Zone économique exclusive de Chypre","Zona Económica Exclusiva de Chipre","Zona Econômica Exclusiva de Chipre","Zona Ekonomi Eksklusif Siprus","Eneo la Kiuchumi la Kipekee la Kupro"
"en","EEZ","5674","Danish Exclusive Economic Zone","3fa06957990cf48d66e0929455911a55","Zona Económica Exclusiva de Dinamarca","Zone économique exclusive de Danemark","Zona Económica Exclusiva de Dinamarca","Zona Econômica Exclusiva de Dinamarca","Zona Ekonomi Eksklusif Denmark","Eneo la Kiuchumi la Kipekee la Denmark"
"en","EEZ","8477","Democratic Republic of the Congo Exclusive Economic Zone","6a8df80fe1147d788ae56fc82f72c06d","Zona Económica Exclusiva de la República Democrática del Congo","Zone économique exclusive de la République démocratique du Congo","Zona Económica Exclusiva da República Democrática do Congo","Zona Econômica Exclusiva da República Democrática do Congo","Zona Ekonomi Eksklusif Republik Demokratik Kongo","Eneo la Kiuchumi la Kipekee la Jamhuri ya Kidemokrasia ya Kongo"
"en","EEZ","8352","Djiboutian Exclusive Economic Zone","37a22a247379d6bb8a4410d65b478cf9","Zona Económica Exclusiva de Yibuti","Zone économique exclusive de Djibouti","Zona Económica Exclusiva de Djibouti","Zona Econômica Exclusiva de Djibouti","Zona Ekonomi Eksklusif Jibuti","Eneo la Kiuchumi la Kipekee la Jibuti"
"en","EEZ","8417","Dominican Exclusive Economic Zone","e1b9546acf922e6311b98c6181f4fce9","Zona Económica Exclusiva de Dominica","Zone économique exclusive de Dominique","Zona Económica Exclusiva de Dominica","Zona Econômica Exclusiva de Dominica","Zona Ekonomi Eksklusif Dominika","Eneo la Kiuchumi la Kipekee la Dominica"
"en","EEZ","8409","Dominican Republic Exclusive Economic Zone","99f9f69e11827b4e735b57420dcf5003","Zona Económica Exclusiva de la República Dominicana","Zone économique exclusive de la République dominicaine","Zona Económica Exclusiva da República Dominicana","Zona Econômica Exclusiva da República Dominicana","Zona Ekonomi Eksklusif Republik Dominika","Eneo la Kiuchumi la Kipekee la Jamhuri ya Dominika"
"en","EEZ","5668","Dutch Exclusive Economic Zone","88680a2e1518c93c5a8400ebe47e2e1c","Zona Económica Exclusiva de Países Bajos","Zone économique exclusive de Pays-Bas","Zona Económica Exclusiva de Países Baixos","Zona Econômica Exclusiva de Países Baixos","Zona Ekonomi Eksklusif Belanda","Eneo la Kiuchumi la Kipekee la Uholanzi"
"en","EEZ","8758","East Timorian Exclusive Economic Zone","714a4447204a9953c5f82cf2f9fb6400","Zona Económica Exclusiva de Timor Oriental","Zone économique exclusive de Timor oriental","Zona Económica Exclusiva de Timor-Leste","Zona Econômica Exclusiva de Timor-Leste","Zona Ekonomi Eksklusif Timor Leste","Eneo la Kiuchumi la Kipekee la Timor ya Mashariki"
"en","EEZ","8431","Ecuadorian Exclusive Economic Zone","2db5361b08d5169d215f1a831cd3452e","Zona Económica Exclusiva de Ecuador","Zone économique exclusive d'Équateur","Zona Económica Exclusiva de Equador","Zona Econômica Exclusiva de Equador","Zona Ekonomi Eksklusif Ekuador","Eneo la Kiuchumi la Kipekee la Ekuador"
"en","EEZ","8403","Ecuadorian Exclusive Economic Zone (Galapagos)","fd0d67828a9855fb2d3465bcbfa85132","Zona Económica Exclusiva de Galápagos","Zone économique exclusive de Galápagos","Zona Económica Exclusiva de Galápagos","Zona Econômica Exclusiva de Galápagos","Zona Ekonomi Eksklusif Galápagos","Eneo la Kiuchumi la Kipekee la Galápagos"
"en","EEZ","8490","Egyptian Exclusive Economic Zone","26f7175c4e2aacf798f04769504d0ac8","Zona Económica Exclusiva de Egipto","Zone économique exclusive d'Égypte","Zona Económica Exclusiva de Egito","Zona Econômica Exclusiva de Egito","Zona Ekonomi Eksklusif Mesir","Eneo la Kiuchumi la Kipekee la Misri"
"en","EEZ","8428","El Salvador Exclusive Economic Zone","0cf259184c11efbacc7b907dfbf06b91","Zona Económica Exclusiva del Salvador","Zone économique exclusive de Salvador","Zona Económica Exclusiva de El Salvador","Zona Econômica Exclusiva de El Salvador","Zona Ekonomi Eksklusif El Salvador","Eneo la Kiuchumi la Kipekee la El Salvador"
